indicatorId,geoUnit,year,type,subtype,value
CE.RA.CULOCC1.1.OV.ILOSTAT.1,BIH,2015,Over Coverage,Classification,Includes other occupation(s)
CE.RA.CULOCC1.1.OV.ILOSTAT.1,BOL,2011,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.CULOCC1.1.OV.ILOSTAT.1,BOL,2015,Over Coverage,Classification,Includes other occupation(s)
CE.RA.CULOCC1.1.OV.ILOSTAT.1,BRA,2013,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.CULOCC1.1.OV.ILOSTAT.1,CHL,2013,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.CULOCC1.1.OV.ILOSTAT.1,DOM,2013,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.CULOCC1.1.OV.ILOSTAT.1,ECU,2013,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.CULOCC1.1.OV.ILOSTAT.1,FIN,2014,Over Coverage,Methodology,Cultural employment is overestimated
CE.RA.CULOCC1.1.OV.ILOSTAT.1,FIN,2015,Over Coverage,Classification,Includes other occupation(s)
CE.RA.CULOCC1.1.OV.ILOSTAT.1,GHA,2014,Over Coverage,Classification,Includes other occupation(s)
CE.RA.CULOCC1.1.OV.ILOSTAT.1,HND,2010,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.CULOCC1.1.OV.ILOSTAT.1,KOR,2014,Over Coverage,Classification,Includes other occupation(s)
CE.RA.CULOCC1.1.OV.ILOSTAT.1,KOR,2015,Over Coverage,Classification,Includes other occupation(s)
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MAC,2015,Over Coverage,Classification,Includes other occupation(s)
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MDV,2014,Over Coverage,Classification,Includes other occupation(s)
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MEX,2015,Over Coverage,Classification,Includes other occupation(s)
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MLT,2015,Over Coverage,Classification,Includes other occupation(s)
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PAK,2015,Over Coverage,Classification,Includes other occupation(s)
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PAK,2015,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PAN,2013,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PAN,2013,Over Coverage,Methodology,Cultural employment is overestimated
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PER,2013,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PRY,2010,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PSE,2015,Over Coverage,Classification,Includes other occupation(s)
CE.RA.CULOCC1.1.OV.ILOSTAT.1,SLV,2013,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.CULOCC1.1.OV.ILOSTAT.1,SVN,2014,Over Coverage,Classification,Includes other occupation(s)
CE.RA.CULOCC1.1.OV.ILOSTAT.1,SVN,2015,Over Coverage,Classification,Includes other occupation(s)
CE.RA.CULOCC1.1.OV.ILOSTAT.1,SVN,2016,Over Coverage,Classification,Includes other occupation(s)
CE.RA.CULOCC1.1.OV.ILOSTAT.1,URY,2013,Over Coverage,FCS domains,Includes Intangible cultural heritage