indicatorId,geoUnit,year,value,qualifier,magnitude
CE.RA.SEX.2.OV.OCCDOMAIN1.1,BEL,2014,41.44857,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,BEL,2015,53.15634,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,BOL,2011,67.58839,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,BRA,2013,54.84508,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,CAN,2015,50.38402,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,CHE,2014,44.9109,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,CHL,2013,44.64617,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,CHL,2016,49.456,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,CPV,2015,82.75862,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,CRI,2015,64.24832,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,CYM,2016,63.07692,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,CZE,2015,47.11369,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,DOM,2013,61.23336,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,ECU,2013,32.13609,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,ECU,2015,18.93695,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,EST,2015,71.97411,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,FIN,2014,61.84211,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,FIN,2015,54.86906,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,FRA,2014,64.61626,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,FRA,2015,50.0235,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,GHA,2014,50.62288,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,HND,2010,61.08855,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,HND,2015,24.54456,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,HUN,2014,30.24194,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,ISL,2015,0,,NA
CE.RA.SEX.2.OV.OCCDOMAIN1.1,ISR,2014,49.10829,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,KOR,2014,46.15385,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,KOR,2015,44.44444,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,LTU,2014,68.85174,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,LTU,2015,79.14535,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,LUX,2014,8.31643,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,LUX,2015,29.45736,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,LVA,2014,69.23077,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,LVA,2015,78.43137,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,MEX,2014,61.64764,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,MEX,2015,56.12571,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,MLI,2015,0,,NA
CE.RA.SEX.2.OV.OCCDOMAIN1.1,MLT,2014,0,,NIL
CE.RA.SEX.2.OV.OCCDOMAIN1.1,MYS,2014,70,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,MYS,2015,45.45455,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,NLD,2014,55.55556,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,NLD,2015,62.5,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,PAK,2014,5.43242,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,PAK,2015,0,,NIL
CE.RA.SEX.2.OV.OCCDOMAIN1.1,PAN,2013,53.05466,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,PAN,2016,66.71053,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,PER,2013,27.79546,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,PRI,2014,49.4709,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,PRI,2015,33.9771,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,PRY,2010,60.11001,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,ROU,2015,40.02118,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,RUS,2014,47.27094,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,SLV,2013,9.81169,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,SRB,2014,49.30218,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,SRB,2015,61.25044,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,SVK,2015,75,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,SVN,2014,44.90006,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,SVN,2015,43.88503,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,SVN,2016,43.87283,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,SWE,2014,56.09756,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,SWE,2015,51.47059,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,TGO,2015,27.72676,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,THA,2014,69.2783,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,THA,2015,66.23582,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,TUR,2014,18.26329,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,TUR,2015,19.52907,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,UGA,2012,100,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,URY,2013,54.16534,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,VNM,2015,47.48687,,
CE.RA.SEX.2.OV.OCCDOMAIN1.1,ZAF,2014,41.62704,,